# bench_col_layout - Column-major migration baseline (Issue #327)
# warmup=3 repeats=7
benchmark	nrows	ncols	min_ms	median_ms	max_ms
col_scan_strided	20000	2	0.006	0.007	0.007
col_scan_contiguous	20000	2	0.006	0.006	0.006
row_reconstruct	20000	2	0.019	0.019	0.020
partition_w4	20000	2	0.206	0.211	0.218
radix_sort	20000	2	1.199	1.213	1.254
append_row	20000	2	0.085	0.085	0.086
col_scan_strided	20000	4	0.008	0.008	0.008
col_scan_contiguous	20000	4	0.006	0.006	0.006
row_reconstruct	20000	4	0.029	0.029	0.052
partition_w4	20000	4	0.206	0.207	0.210
radix_sort	20000	4	2.245	2.320	2.430
append_row	20000	4	0.076	0.077	0.077
col_scan_strided	20000	8	0.016	0.017	0.017
col_scan_contiguous	20000	8	0.006	0.006	0.006
row_reconstruct	20000	8	0.046	0.047	0.047
partition_w4	20000	8	0.213	0.214	0.223
radix_sort	20000	8	5.104	5.154	5.259
append_row	20000	8	0.079	0.092	0.119
col_scan_strided	100000	2	0.030	0.031	0.031
col_scan_contiguous	100000	2	0.024	0.025	0.035
row_reconstruct	100000	2	0.092	0.093	0.101
partition_w4	100000	2	0.941	0.950	0.953
radix_sort	100000	2	5.998	6.135	6.199
append_row	100000	2	0.389	0.393	0.402
col_scan_strided	100000	4	0.076	0.082	0.087
col_scan_contiguous	100000	4	0.024	0.025	0.025
row_reconstruct	100000	4	0.139	0.140	0.160
partition_w4	100000	4	0.967	0.977	1.002
radix_sort	100000	4	11.683	12.874	13.657
append_row	100000	4	0.368	0.377	0.451
col_scan_strided	100000	8	0.071	0.072	0.086
col_scan_contiguous	100000	8	0.025	0.025	0.026
row_reconstruct	100000	8	0.227	0.232	0.241
partition_w4	100000	8	1.021	1.051	1.210
radix_sort	100000	8	35.558	37.735	40.230
append_row	100000	8	0.360	0.366	0.392
col_scan_strided	500000	2	0.183	0.202	0.225
col_scan_contiguous	500000	2	0.136	0.147	0.172
row_reconstruct	500000	2	0.471	0.483	0.495
partition_w4	500000	2	4.731	4.756	4.821
radix_sort	500000	2	33.589	35.250	38.067
append_row	500000	2	1.952	1.957	1.971
col_scan_strided	500000	4	0.553	0.572	0.600
col_scan_contiguous	500000	4	0.184	0.204	0.289
row_reconstruct	500000	4	0.719	0.729	0.831
partition_w4	500000	4	5.097	5.277	5.941
radix_sort	500000	4	112.144	116.258	120.251
append_row	500000	4	1.929	1.940	1.969
col_scan_strided	500000	8	1.165	1.198	1.307
col_scan_contiguous	500000	8	0.203	0.217	0.223
row_reconstruct	500000	8	1.216	1.226	1.270
partition_w4	500000	8	6.556	6.624	6.996
radix_sort	500000	8	435.202	439.547	444.296
append_row	500000	8	15.354	15.603	17.274
# peak_rss_kb=96516
